Name;Date of Birth;Type of Parliamentarian;Riding/Senatorial Division;Province/Territory;Gender;Political Affiliation
Abbott, Jim;1942-08-17;"MP (1997/06/02 - 2011/05/01)
MP (1993/10/25 - 1997/06/01)";"Kootenay--Columbia (1997/06/02 - 2011/05/01)
Kootenay East (1993/10/25 - 1997/06/01)";"British Columbia
British Columbia";M;"Conservative Party of Canada (2003/12/23 - 2011/05/01)
Canadian Reform Conservative Alliance (2000/03/27 - 2003/12/22)
Reform Party of Canada (1993/10/25 - 2000/03/26)"
Ablonczy, Diane;1949-05-05;"MP (1997/06/02 - 2015/10/18)
MP (1993/10/25 - 1997/06/01)";"Calgary--Nose Hill (1997/06/02 - 2015/10/18)
Calgary North (1993/10/25 - 1997/06/01)";"Alberta
Alberta";F;"Conservative Party of Canada (2003/12/23 - 2015/10/18)
Canadian Reform Conservative Alliance (2000/03/27 - 2003/12/22)
Reform Party of Canada (1993/10/25 - 2000/03/26)"
Adams, Peter;1936-04-16;MP (1993/10/25 - 2006/01/22);Peterborough (1993/10/25 - 2006/01/22);Ontario;M;Liberal Party of Canada (1993/10/25 - 2006/01/22)
Alcock, Reginald B.;1948-04-15;MP (1993/10/25 - 2006/01/22);Winnipeg South (1993/10/25 - 2006/01/22);Manitoba;M;Liberal Party of Canada (1993/10/25 - 2006/01/22)
Allmand, William Warren;1932-09-18;"MP (1988/11/21 - 1997/02/24)
MP (1984/09/04 - 1988/11/20)
MP (1965/11/08 - 1984/09/03)";"Notre-Dame-de-Grâce (1988/11/21 - 1997/02/24)
Notre-Dame-de-Grâce--Lachine East (1984/09/04 - 1988/11/20)
Notre-Dame-de-Grâce (1965/11/08 - 1984/09/03)";"Quebec
Quebec
Quebec";M;Liberal Party of Canada (1965/11/08 - 1997/02/24)
Althouse, Victor Fredrich (Vic);1937-04-14;"MP (1988/11/21 - 1997/06/01)
MP (1980/02/18 - 1988/11/20)";"Mackenzie (1988/11/21 - 1997/06/01)
Humboldt--Lake Centre (1980/02/18 - 1988/11/20)";"Saskatchewan
Saskatchewan";M;New Democratic Party (1980/02/18 - 1997/06/01)
Anawak, Jack Iyerak;1950-09-25;MP (1988/11/21 - 1997/04/15);Nunatsiaq (1988/11/21 - 1997/04/15);Northwest Territories;M;Liberal Party of Canada (1988/11/21 - 1997/04/15)
Anderson, David;1937-08-15;"MP (1993/10/25 - 2006/01/22)
MP (1968/06/25 - 1972/07/24)";"Victoria (1993/10/25 - 2006/01/22)
Esquimalt--Saanich (1968/06/25 - 1972/07/24)";"British Columbia
British Columbia";M;"Liberal Party of Canada (1993/10/25 - 2006/01/22)
Liberal Party of Canada (1968/06/25 - 1972/07/24)"
Arseneault, Guy H.;1952-05-10;"MP (1989/12/29 - 1997/06/01)
MP (1988/11/21 - 1989/12/28)";"Restigouche--Chaleur (1989/12/29 - 1997/06/01)
Restigouche (1988/11/21 - 1989/12/28)";"New Brunswick
New Brunswick";M;Liberal Party of Canada (1988/11/21 - 1997/06/01)
Assad, Mark Joseph;1940-06-13;"MP (1997/06/02 - 2004/06/27)
MP (1988/11/21 - 1997/06/01)";"Gatineau (1997/06/02 - 2004/06/27)
Gatineau--La Lièvre (1988/11/21 - 1997/06/01)";"Quebec
Quebec";M;Liberal Party of Canada (1988/11/21 - 2004/06/27)
