Name;Date of Birth;Type of Parliamentarian;Riding/Senatorial Division;Province/Territory;Gender;Political Affiliation
Adams, Willie;1934-06-21;Senator (1977/04/05 - 2009/06/22);"Nunavut (1999/04/01 - 2009/06/22)
Northwest Territories (1977/04/05 - 1999/03/31)";"Nunavut
Northwest Territories";M;Liberal Party of Canada (1977/04/05 - 2009/06/22)
Allmand, William Warren;1932-09-18;"MP (1988/11/21 - 1997/02/24)
MP (1984/09/04 - 1988/11/20)
MP (1965/11/08 - 1984/09/03)";"Notre-Dame-de-Grâce (1988/11/21 - 1997/02/24)
Notre-Dame-de-Grâce--Lachine East (1984/09/04 - 1988/11/20)
Notre-Dame-de-Grâce (1965/11/08 - 1984/09/03)";"Quebec
Quebec
Quebec";M;Liberal Party of Canada (1965/11/08 - 1997/02/24)
Althouse, Victor Fredrich (Vic);1937-04-14;"MP (1988/11/21 - 1997/06/01)
MP (1980/02/18 - 1988/11/20)";"Mackenzie (1988/11/21 - 1997/06/01)
Humboldt--Lake Centre (1980/02/18 - 1988/11/20)";"Saskatchewan
Saskatchewan";M;New Democratic Party (1980/02/18 - 1997/06/01)
Anawak, Jack Iyerak;1950-09-25;MP (1988/11/21 - 1997/04/15);Nunatsiaq (1988/11/21 - 1997/04/15);Northwest Territories;M;Liberal Party of Canada (1988/11/21 - 1997/04/15)
Anderson, Edna;1922-11-08;MP (1988/11/21 - 1993/10/24);Simcoe Centre (1988/11/21 - 1993/10/24);Ontario;F;Progressive Conservative Party (1988/11/21 - 1993/10/24)
Anderson, Margaret Jean;1915-08-06;Senator (1978/03/23 - 1990/08/07);Northumberland-Miramichi (1978/03/23 - 1990/08/07);New Brunswick;F;Liberal Party of Canada (1978/03/23 - 1990/08/07)
Andre, Harvie;1940-07-26;MP (1972/10/30 - 1993/10/24);Calgary Centre (1972/10/30 - 1993/10/24);Alberta;M;Progressive Conservative Party (1972/10/30 - 1993/10/24)
Andreychuk, Raynell;1944-08-13;Senator (1993/03/11 - 2019/08/13);Saskatchewan (1993/03/11 - 2019/08/13);Saskatchewan;F;"Conservative Party of Canada (2004/02/02 - 2019/08/13)
Progressive Conservative Party (1993/03/11 - 2004/02/01)"
Angus, Iain Francis;1947-05-31;MP (1984/09/04 - 1993/10/24);Thunder Bay--Atikokan (1984/09/04 - 1993/10/24);Ontario;M;New Democratic Party (1984/09/04 - 1993/10/24)
Angus, W. David;1937-07-20;Senator (1993/06/10 - 2012/07/21);Alma (1993/06/10 - 2012/07/21);Quebec;M;"Conservative Party of Canada (2004/02/02 - 2012/07/21)
Progressive Conservative Party (1993/06/10 - 2004/02/01)"
Argue, Hazen Robert;1921-01-05;"MP (1949/06/27 - 1963/04/07)
MP (1945/06/11 - 1949/06/26)
Senator (1966/02/24 - 1991/10/02)";"Regina (1966/02/24 - 1991/10/02)
Assiniboia (1949/06/27 - 1963/04/07)
Wood Mountain (1945/06/11 - 1949/06/26)";"Saskatchewan
Saskatchewan
Saskatchewan";M;"Liberal Party of Canada (1966/02/24 - 1991/10/02)
Liberal Party of Canada (1962/02/20 - 1963/04/07)
New Democratic Party (1961/08/03 - 1962/02/19)
Co-operative Commonwealth Federation (1945/06/11 - 1961/08/02)"
Arseneault, Guy H.;1952-05-10;"MP (1989/12/29 - 1997/06/01)
MP (1988/11/21 - 1989/12/28)";"Restigouche--Chaleur (1989/12/29 - 1997/06/01)
Restigouche (1988/11/21 - 1989/12/28)";"New Brunswick
New Brunswick";M;Liberal Party of Canada (1988/11/21 - 1997/06/01)
Assad, Mark Joseph;1940-06-13;"MP (1997/06/02 - 2004/06/27)
MP (1988/11/21 - 1997/06/01)";"Gatineau (1997/06/02 - 2004/06/27)
Gatineau--La Lièvre (1988/11/21 - 1997/06/01)";"Quebec
Quebec";M;Liberal Party of Canada (1988/11/21 - 2004/06/27)
Asselin, Martial;1924-02-02;"MP (1965/11/08 - 1972/08/31)
MP (1958/03/31 - 1962/06/17)
Senator (1972/09/01 - 1990/08/07)";"Stadacona (1972/09/01 - 1990/08/07)
Charlevoix (1965/11/08 - 1972/08/31)
Charlevoix (1958/03/31 - 1962/06/17)";"Quebec
Quebec
Quebec";M;"Progressive Conservative Party (1965/11/08 - 1990/08/07)
Progressive Conservative Party (1958/03/31 - 1962/06/17)"
Atkins, Norman K.;1934-06-26;Senator (1986/06/30 - 2009/06/27);Markham (1986/06/30 - 2009/06/27);Ontario;M;Progressive Conservative Party (1986/06/30 - 2009/06/27)
Atkinson, Kenneth David;1947-03-01;MP (1988/11/21 - 1993/10/24);St. Catharines (1988/11/21 - 1993/10/24);Ontario;M;Progressive Conservative Party (1988/11/21 - 1993/10/24)
Attewell, Bill;1932-01-20;"MP (1989/12/29 - 1993/10/24)
MP (1988/11/21 - 1989/12/28)
MP (1984/09/04 - 1988/11/20)";"Markham--Whitchurch--Stouffville (1989/12/29 - 1993/10/24)
Markham (1988/11/21 - 1989/12/28)
Don Valley East (1984/09/04 - 1988/11/20)";"Ontario
Ontario
Ontario";M;Progressive Conservative Party (1984/09/04 - 1993/10/24)
Austin, Jack;1932-03-01;Senator (1975/08/19 - 2007/03/02);Vancouver South (1975/08/19 - 2007/03/02);British Columbia;M;Liberal Party of Canada (1975/08/19 - 2007/03/02)
Axworthy, Chris;1947-03-09;"MP (1997/06/02 - 1999/05/13)
MP (1988/11/21 - 1997/06/01)";"Saskatoon--Rosetown--Biggar (1997/06/02 - 1999/05/13)
Saskatoon--Clark's Crossing (1988/11/21 - 1997/06/01)";"Saskatchewan
Saskatchewan";M;New Democratic Party (1988/11/21 - 1999/05/13)
Axworthy, Lloyd;1939-12-20;"MP (1988/11/21 - 2000/11/26)
MP (1979/05/22 - 1988/11/20)";"Winnipeg South Centre (1988/11/21 - 2000/11/26)
Winnipeg--Fort Garry (1979/05/22 - 1988/11/20)";"Manitoba
Manitoba";M;Liberal Party of Canada (1979/05/22 - 2000/11/26)
