Name;Date of Birth;Type of Parliamentarian;Riding/Senatorial Division;Province/Territory;Gender;Political Affiliation
Baker, George;1942-09-02;"MP (1988/11/21 - 2002/03/25)
MP (1974/07/08 - 1988/11/20)
Senator (2002/03/26 - 2017/09/03)";"Newfoundland and Labrador (2002/03/26 - 2017/09/03)
Gander--Grand Falls (1988/11/21 - 2002/03/25)
Gander--Twillingate (1974/07/08 - 1988/11/20)";"Newfoundland and Labrador
Newfoundland and Labrador
Newfoundland and Labrador";M;Liberal Party of Canada (1972/10/30 - 2017/09/03)
Balfour, James;1928-05-21;"MP (1972/10/30 - 1979/05/21)
Senator (1979/09/13 - 1999/12/12)";"Regina (1979/09/13 - 1999/12/12)
Regina East (1972/10/30 - 1979/05/21)";"Saskatchewan
Saskatchewan";M;"Progressive Conservative Party (1979/09/13 - 1999/12/12)
Progressive Conservative Party (1972/10/30 - 1979/05/21)"
Barootes, Efstathios William (Staff);1918-11-14;Senator (1984/12/21 - 1993/05/25);Regina-Qu'Appelle (1984/12/21 - 1993/05/25);Saskatchewan;M;Progressive Conservative Party (1984/12/21 - 1993/05/25)
Barrett, David;1930-10-01;MP (1988/11/21 - 1993/10/24);Esquimalt--Juan de Fuca (1988/11/21 - 1993/10/24);British Columbia;M;New Democratic Party (1988/11/21 - 1993/10/24)
Bazin, Jean;1940-01-30;Senator (1986/12/29 - 1989/12/08);De la Durantaye (1986/12/29 - 1989/12/08);Quebec;M;Progressive Conservative Party (1986/12/29 - 1989/12/08)
Beatty, Henry Perrin;1950-05-31;"MP (1988/11/21 - 1993/10/24)
MP (1979/05/22 - 1988/11/20)
MP (1972/10/30 - 1979/05/21)";"Wellington--Grey--Dufferin--Simcoe (1988/11/21 - 1993/10/24)
Wellington--Dufferin--Simcoe (1979/05/22 - 1988/11/20)
Wellington--Grey--Dufferin--Waterloo (1972/10/30 - 1979/05/21)";"Ontario
Ontario
Ontario";M;Progressive Conservative Party (1972/10/30 - 1993/10/24)
Beaudoin, Gérald A.;1929-04-14;Senator (1988/09/26 - 2004/04/15);Rigaud (1988/09/26 - 2004/04/15);Quebec;M;"Conservative Party of Canada (2004/02/02 - 2004/04/15)
Progressive Conservative Party (1988/09/26 - 2004/02/01)"
Beaulieu, Mario;1930-01-31;Senator (1990/08/30 - 1994/06/22);De la Durantaye (1990/08/30 - 1994/06/22);Quebec;M;Progressive Conservative Party (1990/08/30 - 1994/06/22)
Bélair, Réginald;1949-04-05;"MP (1997/06/02 - 2004/06/27)
MP (1988/11/21 - 1997/06/01)";"Timmins--James Bay (1997/06/02 - 2004/06/27)
Cochrane--Superior (1988/11/21 - 1997/06/01)";"Ontario
Ontario";M;Liberal Party of Canada (1988/11/21 - 2004/06/27)
Bélisle, Rhéal;1919-07-02;Senator (1963/02/04 - 1992/11/03);Sudbury (1963/02/04 - 1992/11/03);Ontario;M;Progressive Conservative Party (1963/02/04 - 1992/11/03)
Bell (Heath), Ann Elizabeth Haddon;1924-05-25;Senator (1970/10/07 - 1989/11/29);Nanaimo-Malaspina (1970/10/07 - 1989/11/29);British Columbia;F;"Independent (1986 - 1989/11/29)
Liberal Party of Canada (1970/10/07 - 1986)"
Bellemare, Eugène;1932-04-05;"MP (2000/06/29 - 2004/06/27)
MP (1997/06/02 - 2000/06/28)
MP (1988/11/21 - 1997/06/01)";"Ottawa--Orléans (2000/06/29 - 2004/06/27)
Carleton--Gloucester (1997/06/02 - 2000/06/28)
Carleton--Gloucester (1988/11/21 - 1997/06/01)";"Ontario
Ontario
Ontario";M;Liberal Party of Canada (1988/11/21 - 2004/06/27)
Belsher, Ross;1933-01-18;MP (1984/09/04 - 1993/10/24);Fraser Valley East (1984/09/04 - 1993/10/24);British Columbia;M;Progressive Conservative Party (1984/09/04 - 1993/10/25)
Benjamin, Leslie Gordon;1925-04-28;"MP (1988/11/21 - 1993/10/24)
MP (1979/05/22 - 1988/11/20)
MP (1968/06/25 - 1979/05/21)";"Regina--Lumsden (1988/11/21 - 1993/10/24)
Regina West (1979/05/22 - 1988/11/20)
Regina--Lake Centre (1968/06/25 - 1979/05/21)";"Saskatchewan
Saskatchewan
Saskatchewan";M;New Democratic Party (1968/06/25 - 1993/10/24)
Berger, David;1950-03-29;"MP (1988/11/21 - 1994/12/28)
MP (1979/05/22 - 1988/11/20)";"Saint-Henri--Westmount (1988/11/21 - 1994/12/28)
Laurier (1979/05/22 - 1988/11/20)";"Quebec
Quebec";M;Liberal Party of Canada (1979/05/22 - 1994/12/28)
Bernier, Gilles;1934-07-14;MP (1984/09/04 - 1997/06/01);Beauce (1984/09/04 - 1997/06/01);Quebec;M;"Independent (1993/10/25 - 1997/06/01)
Progressive Conservative Party (1984/09/04 - 1993/10/24)"
Berntson, Eric A.;1941-05-15;Senator (1990/09/27 - 2001/02/27);Saskatchewan (1990/09/27 - 2001/02/27);Saskatchewan;M;Progressive Conservative Party (1990/09/27 - 2001/02/27)
Bertrand, Gabrielle;1923-05-14;MP (1984/09/04 - 1993/10/24);Brome--Missisquoi (1984/09/04 - 1993/10/24);Quebec;F;Progressive Conservative Party (1984/09/04 - 1993/10/24)
Bevilacqua, Maurizio;1960-05-31;"MP (2004/06/28 - 2010/09/02)
MP (1997/06/02 - 2004/06/27)
MP (1990/12/10 - 1997/06/01)
MP (1988/11/21 - 1990/06/07)";"Vaughan (2004/06/28 - 2010/09/02)
Vaughan--King--Aurora (1997/06/02 - 2004/06/27)
York North (1990/12/10 - 1997/06/01)
York North (1988/11/21 - 1990/06/07)";"Ontario
Ontario
Ontario
Ontario";M;"Liberal Party of Canada (1990/12/10 - 2010/09/02)
Liberal Party of Canada (1988/11/21 - 1990/06/07)"
Bielish, Martha Palamarek;1915-10-19;Senator (1979/09/27 - 1990/09/26);Lakeland (1979/09/27 - 1990/09/26);Alberta;F;Progressive Conservative Party (1979/09/27 - 1990/09/26)
Bird, John Williston (Bud);1932-03-21;"MP (1989/12/29 - 1993/10/24)
MP (1988/11/21 - 1989/12/28)";"Fredericton--York--Sunbury (1989/12/29 - 1993/10/24)
Fredericton (1988/11/21 - 1989/12/28)";"New Brunswick
New Brunswick";M;Progressive Conservative Party (1988/11/21 - 1993/10/25)
Bjornson, David;1947-07-06;"MP (1990/12/19 - 1993/10/24)
MP (1988/11/21 - 1990/12/18)";"Selkirk--Red River (1990/12/19 - 1993/10/24)
Selkirk (1988/11/21 - 1990/12/18)";"Manitoba
Manitoba";M;Progressive Conservative Party (1988/11/21 - 1993/10/24)
Black, Dawn;1943-03-31;"MP (2006/01/23 - 2009/04/13)
MP (1988/11/21 - 1993/10/24)";"New Westminster--Coquitlam (2006/01/23 - 2009/04/13)
New Westminster--Burnaby (1988/11/21 - 1993/10/24)";"British Columbia
British Columbia";F;"New Democratic Party (2006/01/23 - 2009/04/13)
New Democratic Party (1988/11/21 - 1993/10/24)"
Blackburn, Derek Nigel Ernest;1934-06-15;MP (1971/05/31 - 1993/05/31);Brant (1971/05/31 - 1993/05/31);Ontario;M;New Democratic Party (1971/05/31 - 1993/05/31)
Blackburn, Jean-Pierre;1948-07-05;"MP (2006/01/23 - 2011/05/01)
MP (1984/09/04 - 1993/10/24)";"Jonquière--Alma (2006/01/23 - 2011/05/01)
Jonquière (1984/09/04 - 1993/10/24)";"Quebec
Quebec";M;"Conservative Party of Canada (2006/01/23 - 2011/05/01)
Progressive Conservative Party (1984/09/04 - 1993/10/24)"
Blaikie, William Alexander (Bill);1951-06-18;"MP (2004/06/28 - 2008/10/13)
MP (1997/06/02 - 2004/06/27)
MP (1988/11/21 - 1997/06/01)
MP (1979/05/22 - 1988/11/20)";"Elmwood--Transcona (2004/06/28 - 2008/10/13)
Winnipeg--Transcona (1997/06/02 - 2004/06/27)
Winnipeg Transcona (1988/11/21 - 1997/06/01)
Winnipeg--Birds Hill (1979/05/22 - 1988/11/20)";"Manitoba
Manitoba
Manitoba
Manitoba";M;New Democratic Party (1979/05/22 - 2008/10/13)
Blais, Pierre;1948-12-29;MP (1984/09/04 - 1993/10/24);Bellechasse (1984/09/04 - 1993/10/24);Quebec;M;Progressive Conservative Party (1984/09/04 - 1993/10/24)
Blenkarn, Donald Alex;1930-06-16;"MP (1979/05/22 - 1993/10/24)
MP (1972/10/30 - 1974/07/07)";"Mississauga South (1979/05/22 - 1993/10/24)
Peel South (1972/10/30 - 1974/07/07)";"Ontario
Ontario";M;"Progressive Conservative Party (1979/05/22 - 1993/10/24)
Progressive Conservative Party (1972/10/30 - 1974/07/07)"
Blondin-Andrew, Ethel Dorothy;1951-03-24;MP (1988/11/21 - 2006/01/22);Western Arctic (1988/11/21 - 2006/01/22);Northwest Territories;F;Liberal Party of Canada (1988/11/21 - 2006/01/22)
Bolduc, Roch;1928-09-09;Senator (1988/09/26 - 2003/09/10);Gulf (1988/09/26 - 2003/09/10);Quebec;M;Progressive Conservative Party (1988/09/26 - 2003/09/10)
Bonnell, M. Lorne;1923-01-03;Senator (1971/11/04 - 1998/01/04);Murray River (1971/11/04 - 1998/01/04);Prince Edward Island;M;Liberal Party of Canada (1971/11/04 - 1998/01/04)
Bosa, Peter;1927-05-01;Senator (1977/04/05 - 1998/12/10);York-Caboto (1977/04/05 - 1998/12/10);Ontario;M;Liberal Party of Canada (1977/04/05 - 1998/12/10)
Bosley, John William;1947-05-03;MP (1979/05/22 - 1993/10/24);Don Valley West (1979/05/22 - 1993/10/24);Ontario;M;Progressive Conservative Party (1979/05/22 - 1993/10/24)
Bouchard, Benoît;1940-04-15;MP (1984/09/04 - 1993/06/17);Roberval (1984/09/04 - 1993/06/17);Quebec;M;Progressive Conservative Party (1984/09/04 - 1993/06/17)
Bouchard, Lucien;1938-12-21;MP (1988/06/20 - 1996/01/15);Lac-Saint-Jean (1988/06/20 - 1996/01/15);Quebec;M;"Bloc Québécois (1990/12/22 - 1996/01/15)
Independent (1990/05/22 - 1990/12/21)
Progressive Conservative Party (1988/06/20 - 1990/05/21)"
Boudria, Don;1949-08-29;MP (1984/09/04 - 2006/01/22);Glengarry--Prescott--Russell (1984/09/04 - 2006/01/22);Ontario;M;Liberal Party of Canada (1984/09/04 - 2006/01/23)
Bourgault, Lise;1950-06-04;MP (1984/09/04 - 1993/10/24);Argenteuil--Papineau (1984/09/04 - 1993/10/24);Quebec;F;Progressive Conservative Party (1984/09/04 - 1993/10/24)
Boyer, Patrick;1945-03-03;MP (1984/09/04 - 1993/10/24);Etobicoke--Lakeshore (1984/09/04 - 1993/10/24);Ontario;M;Progressive Conservative Party (1984/09/04 - 1993/10/24)
Breaugh, Michael James;1942-09-12;MP (1990/08/13 - 1993/10/24);Oshawa (1990/08/13 - 1993/10/24);Ontario;M;New Democratic Party (1990/08/13 - 1993/10/24)
Brewin, John F.;1936-09-13;MP (1988/11/21 - 1993/10/24);Victoria (1988/11/21 - 1993/10/24);British Columbia;M;New Democratic Party (1988/11/21 - 1993/10/24)
Brightwell, A.H. Harry;1932-08-03;"MP (1988/11/21 - 1993/10/24)
MP (1984/09/04 - 1988/11/20)";"Perth--Wellington--Waterloo (1988/11/21 - 1993/10/24)
Perth (1984/09/04 - 1988/11/20)";"Ontario
Ontario";M;Progressive Conservative Party (1984/09/04 - 1993/10/24)
Broadbent, John Edward;1936-03-20;"MP (2004/06/28 - 2006/01/22)
MP (1979/05/22 - 1989/12/31)
MP (1968/06/25 - 1979/05/21)";"Ottawa Centre (2004/06/28 - 2006/01/22)
Oshawa (1979/05/22 - 1989/12/31)
Oshawa--Whitby (1968/06/25 - 1979/05/21)";"Ontario
Ontario
Ontario";M;"New Democratic Party (2004/06/28 - 2006/01/22)
New Democratic Party (1968/06/25 - 1989/12/31)"
Browes, Pauline;1938-05-06;MP (1984/09/04 - 1993/10/24);Scarborough Centre (1984/09/04 - 1993/10/24);Ontario;F;Progressive Conservative Party (1984/09/04 - 1993/10/24)
Buchanan, John M.;1931-04-21;Senator (1990/09/12 - 2006/04/22);Halifax (1990/09/12 - 2006/04/22);Nova Scotia;M;"Conservative Party of Canada (2004/02/02 - 2006/04/22)
Progressive Conservative Party (1990/09/12 - 2004/02/01)"
Buckwold, Sidney Labe;1916-11-02;Senator (1971/11/04 - 1991/11/03);Saskatoon (1971/11/04 - 1991/11/03);Saskatchewan;M;Liberal Party of Canada (1971/11/04 - 1991/11/03)
Butland, Steve;1941-03-25;MP (1988/11/21 - 1993/10/24);Sault Ste. Marie (1988/11/21 - 1993/10/24);Ontario;M;New Democratic Party (1988/11/21 - 1993/10/24)
Caccia, Charles L.;1930-04-27;MP (1968/06/25 - 2004/06/27);Davenport (1968/06/25 - 2004/06/27);Ontario;M;Liberal Party of Canada (1968/06/25 - 2004/06/27)
Cadieux, Pierre H.;1948-04-05;MP (1984/09/04 - 1993/10/24);Vaudreuil (1984/09/04 - 1993/10/24);Quebec;M;Progressive Conservative Party (1984/09/04 - 1993/10/24)
Callbeck, Catherine S.;1939-07-24;"MP (1988/11/21 - 1993/01/25)
Senator (1997/09/22 - 2014/07/25)";"Prince Edward Island (1997/09/22 - 2014/07/25)
Malpeque (1988/11/21 - 1993/01/25)";"Prince Edward Island
Prince Edward Island";F;"Liberal Party of Canada (1997/09/22 - 2014/07/25)
Liberal Party of Canada (1988/11/21 - 1993/01/25)"
Campbell, A. Kim;1947-03-09;MP (1988/11/21 - 1993/10/24);Vancouver Centre (1988/11/21 - 1993/10/24);British Columbia;F;Progressive Conservative Party (1988/11/21 - 1993/10/24)
Campbell, Coline M.;1940-09-25;"MP (1988/11/21 - 1993/10/24)
MP (1980/02/18 - 1984/09/03)
MP (1974/07/08 - 1979/05/21)";"South West Nova (1988/11/21 - 1993/10/24)
South West Nova (1980/02/18 - 1984/09/03)
South Western Nova (1974/07/08 - 1979/05/21)";"Nova Scotia
Nova Scotia
Nova Scotia";F;"Liberal Party of Canada (1988/11/21 - 1993/10/24)
Liberal Party of Canada (1980/02/18 - 1984/09/03)
Liberal Party of Canada (1974/07/08 - 1979/05/21)"
Cardiff, Murray;1934-06-09;MP (1980/02/18 - 1993/10/24);Huron--Bruce (1980/02/18 - 1993/10/24);Ontario;M;Progressive Conservative Party (1980/02/18 - 1993/10/24)
Carney, Pat;1935-05-25;"MP (1980/02/18 - 1988/11/20)
Senator (1990/08/30 - 2008/01/31)";"British Columbia (1990/08/30 - 2008/01/31)
Vancouver Centre (1980/02/18 - 1988/11/20)";"British Columbia
British Columbia";F;"Conservative Party of Canada (2004/02/02 - 2008/01/31)
Progressive Conservative Party (1990/08/30 - 2004/02/01)
Progressive Conservative Party (1980/02/18 - 1988/11/20)"
Casey, William D. (Bill);1945-02-18;"MP (2015/10/19 - 2019/10/20)
MP (2004/09/01 - 2009/04/30)
MP (2004/06/28 - 2004/08/31)
MP (1997/06/02 - 2004/06/27)
MP (1988/11/21 - 1993/10/24)";"Cumberland--Colchester (2015/10/19 - 2019/10/20)
Cumberland--Colchester--Musquodoboit Valley (2004/09/01 - 2009/04/30)
North Nova (2004/06/28 - 2004/08/31)
Cumberland--Colchester (1997/06/02 - 2004/06/27)
Cumberland--Colchester (1988/11/21 - 1993/10/24)";"Nova Scotia
Nova Scotia
Nova Scotia
Nova Scotia
Nova Scotia";M;"Liberal Party of Canada (2015/10/19 - 2019/10/20)
Independent (2007/06/06 - 2009/04/30)
Conservative Party of Canada (2004/02/02 - 2007/06/05)
Progressive Conservative Party (1997/06/02 - 2004/02/01)
Progressive Conservative Party (1988/11/21 - 1993/10/24)"
Castonguay, Claude;1929-05-07;Senator (1990/09/23 - 1992/12/09);Stadacona (1990/09/23 - 1992/12/09);Quebec;M;Progressive Conservative Party (1990/09/23 - 1992/12/09)
Catterall, Marlene;1939-02-28;"MP (1997/06/02 - 2006/01/22)
MP (1988/11/21 - 1997/06/01)";"Ottawa West--Nepean (1997/06/02 - 2006/01/22)
Ottawa West (1988/11/21 - 1997/06/01)";"Ontario
Ontario";F;Liberal Party of Canada (1988/11/21 - 2006/01/22)
Chadwick, Harry;1930-11-12;"MP (1990/12/19 - 1993/10/24)
MP (1988/11/21 - 1990/12/18)";"Bramalea--Gore--Malton (1990/12/19 - 1993/10/24)
Brampton--Malton (1988/11/21 - 1990/12/18)";"Ontario
Ontario";M;Progressive Conservative Party (1988/11/21 - 1993/10/24)
Champagne, Andrée;1939-07-16;"MP (1984/09/04 - 1993/10/24)
Senator (2005/08/02 - 2014/07/17)";"Grandville (2005/08/02 - 2014/07/17)
Saint-Hyacinthe--Bagot (1984/09/04 - 1993/10/24)";"Quebec
Quebec";F;"Conservative Party of Canada (2005/08/02 - 2014/07/17)
Progressive Conservative Party (1984/09/04 - 1993/10/25)"
Champagne, Michel;1956-05-03;MP (1984/09/04 - 1993/10/24);Champlain (1984/09/04 - 1993/10/24);Quebec;M;Progressive Conservative Party (1984/09/04 - 1993/10/24)
Chaput-Rolland, Solange;1919-05-13;Senator (1988/09/26 - 1994/05/14);Mille Isles (1988/09/26 - 1994/05/14);Quebec;F;Progressive Conservative Party (1988/09/26 - 1994/05/14)
Charbonneau, Guy;1922-06-20;Senator (1979/09/27 - 1997/06/21);Kennebec (1979/09/27 - 1997/06/21);Quebec;M;Progressive Conservative Party (1979/09/27 - 1997/06/21)
Charest, Jean J.;1958-06-23;MP (1984/09/04 - 1998/05/01);Sherbrooke (1984/09/04 - 1998/05/01);Quebec;M;Progressive Conservative Party (1984/09/04 - 1998/04/30)
Chartrand, Gilbert;1954-11-02;MP (1984/09/04 - 1993/10/24);Verdun--Saint-Paul (1984/09/04 - 1993/10/24);Quebec;M;"Progressive Conservative Party (1991/04/09 - 1993/10/24)
Bloc Québécois (1990/12/20 - 1991/04/08)
Independent (1990/05/22 - 1990/12/19)
Progressive Conservative Party (1984/09/04 - 1990/05/21)"
Chrétien, Joseph Jacques Jean;1934-01-10;"MP (1993/10/25 - 2003/12/12)
MP (1990/12/10 - 1993/10/24)
MP (1968/06/25 - 1986/02/27)
MP (1963/04/08 - 1968/06/24)";"Saint-Maurice (1993/10/25 - 2003/12/12)
Beauséjour (1990/12/10 - 1993/10/24)
Saint-Maurice (1968/06/25 - 1986/02/27)
Saint-Maurice--Laflèche (1963/04/08 - 1968/06/24)";"Quebec
New Brunswick
Quebec
Quebec";M;"Liberal Party of Canada (1990/12/10 - 2003/12/12)
Liberal Party of Canada (1963/04/08 - 1986/02/27)"
Clancy, Mary Catherine;1948-01-12;MP (1988/11/21 - 1997/06/01);Halifax (1988/11/21 - 1997/06/01);Nova Scotia;F;Liberal Party of Canada (1988/11/21 - 1997/06/02)
Clark, Charles Joseph;1939-06-04;"MP (2000/11/27 - 2004/06/27)
MP (2000/09/11 - 2000/11/26)
MP (1979/05/22 - 1993/10/24)
MP (1972/10/30 - 1979/05/21)";"Calgary Centre (2000/11/27 - 2004/06/27)
Kings--Hants (2000/09/11 - 2000/11/26)
Yellowhead (1979/05/22 - 1993/10/24)
Rocky Mountain (1972/10/30 - 1979/05/21)";"Alberta
Nova Scotia
Alberta
Alberta";M;"Independent (2004/02/02 - 2004/06/27)
Progressive Conservative Party (1972/10/30 - 2004/02/01)"
Clark, Walter Leland Rutherford (Lee);1936-12-15;MP (1983/05/24 - 1993/10/24);Brandon--Souris (1983/05/24 - 1993/10/24);Manitoba;M;Progressive Conservative Party (1983/05/24 - 1993/10/24)
Clifford, Terrence (Terry);1938-11-11;MP (1984/09/04 - 1993/10/24);London--Middlesex (1984/09/04 - 1993/10/24);Ontario;M;Progressive Conservative Party (1984/09/04 - 1993/10/24)
Cochrane, Ethel M.;1937-09-22;Senator (1986/11/17 - 2012/09/23);Newfoundland and Labrador (1986/11/17 - 2012/09/23);Newfoundland and Labrador;F;"Conservative Party of Canada (2004/02/02 - 2012/09/23)
Progressive Conservative Party (1986/11/17 - 2004/02/01)"
Cogger, Michel;1939-03-20;Senator (1986/05/02 - 2000/09/01);Lauzon (1986/05/02 - 2000/09/01);Quebec;M;Progressive Conservative Party (1986 - 2000/09/01)
Cohen, Erminie J.;1926-07-22;Senator (1993/06/04 - 2001/07/23);Saint John (1993/06/04 - 2001/07/23);New Brunswick;F;Progressive Conservative Party (1993/06/04 - 2001/07/23)
Cole, John;1942-08-03;MP (1988/11/21 - 1993/10/24);York--Simcoe (1988/11/21 - 1993/10/24);Ontario;M;Progressive Conservative Party (1988/11/21 - 1993/10/24)
Collins, Mary;1940-09-25;MP (1984/09/04 - 1993/10/24);Capilano (1984/09/04 - 1993/10/24);British Columbia;F;Progressive Conservative Party (1984/09/04 - 1993/10/24)
Comeau, Gerald J.;1946-01-31;"MP (1984/09/04 - 1988/11/20)
Senator (1990/08/30 - 2013/11/30)";"Nova Scotia (1990/08/30 - 2013/11/30)
South West Nova (1984/09/04 - 1988/11/20)";"Nova Scotia
Nova Scotia";M;"Conservative Party of Canada (2004/02/02 - 2013/11/30)
Progressive Conservative Party (1990/08/30 - 2004/02/01)
Progressive Conservative Party (1984/09/04 - 1988/11/20)"
Comuzzi, Joseph R. (Joe);1933-04-04;"MP (1998/06/18 - 2008/10/13)
MP (1988/11/21 - 1998/06/17)";"Thunder Bay--Superior North (1998/06/18 - 2008/10/13)
Thunder Bay--Nipigon (1988/11/21 - 1998/06/17)";"Ontario
Ontario";M;"Conservative Party of Canada (2007/06/27 - 2008/10/13)
Independent (2007/03/21 - 2007/06/26)
Liberal Party of Canada (1988/11/21 - 2007/03/20)"
Cook, Charles Henry (Chuck);1926-07-27;"MP (1988/11/21 - 1993/02/23)
MP (1979/05/22 - 1988/11/20)";"North Vancouver (1988/11/21 - 1993/02/23)
North Vancouver--Burnaby (1979/05/22 - 1988/11/20)";"British Columbia
British Columbia";M;Progressive Conservative Party (1979/05/22 - 1993/02/23)
