Name;Date of Birth;Type of Parliamentarian;Riding/Senatorial Division;Province/Territory;Gender;Political Affiliation
Aspin, Jay;1949-08-18;MP (2011/05/02 - 2015/10/18);Nipissing--Timiskaming (2011/05/02 - 2015/10/18);Ontario;M;Conservative Party of Canada (2011/05/02 - 2015/10/18)
Atamanenko, Alex;1945-01-23;MP (2006/01/23 - 2015/10/18);British Columbia Southern Interior (2006/01/23 - 2015/10/18);British Columbia;M;New Democratic Party (2006/01/23 - 2015/10/18)
Ataullahjan, Salma;1952-04-28;Senator (2010/07/09 - );Toronto (2010/07/09 - );Ontario;F;Conservative Party of Canada (2010/07/09 - )
Aubin, Robert;1960-05-25;MP (2011/05/02 - 2019/10/20);Trois-Rivières (2011/05/02 - 2019/10/20);Quebec;M;New Democratic Party (2011/05/02 - 2019/10/20)
Ayala, Paulina;1962-06-24;MP (2011/05/02 - 2015/10/18);Honoré-Mercier (2011/05/02 - 2015/10/18);Quebec;F;New Democratic Party (2011/05/02 - 2015/10/18)
Baird, John;1969-05-25;MP (2006/01/23 - 2015/03/16);Ottawa West--Nepean (2006/01/23 - 2015/03/16);Ontario;M;Conservative Party of Canada (2006/01/23 - 2015/03/16)
Baker, George;1942-09-02;"MP (1988/11/21 - 2002/03/25)
MP (1974/07/08 - 1988/11/20)
Senator (2002/03/26 - 2017/09/03)";"Newfoundland and Labrador (2002/03/26 - 2017/09/03)
Gander--Grand Falls (1988/11/21 - 2002/03/25)
Gander--Twillingate (1974/07/08 - 1988/11/20)";"Newfoundland and Labrador
Newfoundland and Labrador
Newfoundland and Labrador";M;Liberal Party of Canada (1972/10/30 - 2017/09/03)
Banks, Tommy;1936-12-16;Senator (2000/04/07 - 2011/12/17);Alberta (2000/04/07 - 2011/12/17);Alberta;M;Liberal Party of Canada (2000/04/07 - 2011/12/17)
Barlow, John;1971-10-12;"MP (2015/10/19 - )
MP (2014/06/30 - 2015/10/18)";"Foothills (2015/10/19 - )
Macleod (2014/06/30 - 2015/10/18)";"Alberta
Alberta";M;Conservative Party of Canada (2014/06/30 - )
Bateman, Joyce;;MP (2011/05/02 - 2015/10/18);Winnipeg South Centre (2011/05/02 - 2015/10/18);Manitoba;F;Conservative Party of Canada (2011/05/02 - 2015/10/18)
Batters, Denise;1970-06-17;Senator (2013/01/25 - );Saskatchewan (2013/01/25 - );Saskatchewan;F;Conservative Party of Canada (2013/01/25 - )
Bélanger, Mauril;1955-06-14;MP (1995/02/13 - 2016/08/15);Ottawa--Vanier (1995/02/13 - 2016/08/15);Ontario;M;Liberal Party of Canada (1995/02/13 - 2016/08/15)
Bellavance, André;1964-06-02;MP (2004/06/28 - 2015/10/18);Richmond--Arthabaska (2004/06/28 - 2015/10/18);Quebec;M;"Independent (2014/08/25 - 2015/10/18)
Bloc Québécois (2004/06/28 - 2014/08/24)"
Bellemare, Diane;1949-10-12;Senator (2012/09/06 - );Alma (2012/09/06 - );Quebec;F;"Independent Senators Group (2019/11/14 - )
Non-affiliated (2016/06/13 - 2019/11/13)
Independent (2016/03/08 - 2016/06/12)
Conservative Party of Canada (2012/09/06 - 2016/03/07)"
Bennett, Carolyn;1950-12-19;"MP (2015/10/19 - )
MP (1997/06/02 - 2015/10/18)";"Toronto--St. Paul's (2015/10/19 - )
St. Paul's (1997/06/02 - 2015/10/18)";"Ontario
Ontario";F;Liberal Party of Canada (1997/06/02 - )
Benoit, Leon Earl;1950-07-06;"MP (2004/06/28 - 2015/10/18)
MP (1997/06/02 - 2004/06/27)
MP (1993/10/25 - 1997/06/01)";"Vegreville--Wainwright (2004/06/28 - 2015/10/18)
Lakeland (1997/06/02 - 2004/06/27)
Vegreville (1993/10/25 - 1997/06/01)";"Alberta
Alberta
Alberta";M;"Conservative Party of Canada (2003/12/23 - 2015/10/18)
Canadian Reform Conservative Alliance (2000/03/27 - 2003/12/22)
Reform Party of Canada (1993/10/25 - 2000/03/26)"
Benskin, Tyrone;1958-12-28;MP (2011/05/02 - 2015/10/18);Jeanne-Le Ber (2011/05/02 - 2015/10/18);Quebec;M;New Democratic Party (2011/05/02 - 2015/10/18)
Bergen, Candice;1964-09-27;MP (2008/10/14 - );Portage--Lisgar (2008/10/14 - );Manitoba;F;Conservative Party of Canada (2008/10/14 - )
Bernier, Maxime;1963-01-17;MP (2006/01/23 - 2019/10/20);Beauce (2006/01/23 - 2019/10/20);Quebec;M;"People's Party of Canada (2018/09/14 - )
Independent (2018/08/23 - 2018/09/13)
Conservative Party of Canada (2006/01/23 - 2018/08/22)"
Bevington, Dennis Fraser;1953-03-26;MP (2006/01/23 - 2015/10/18);Western Arctic (2006/01/23 - 2015/10/18);Northwest Territories;M;New Democratic Party (2006/01/23 - 2015/10/18)
Beyak, Lynn;1949-02-17;Senator (2013/01/25 - );Ontario (2013/01/25 - );Ontario;F;"Non-affiliated (2018/01/05 - )
Conservative Party of Canada (2013/01/25 - 2018/01/04)"
Bezan, James;1965-05-18;"MP (2015/10/19 - )
MP (2004/06/28 - 2015/10/18)";"Selkirk--Interlake--Eastman (2015/10/19 - )
Selkirk--Interlake (2004/06/28 - 2015/10/18)";"Manitoba
Manitoba";M;Conservative Party of Canada (2004/06/28 - )
Black, Douglas;1952-05-09;Senator (2013/01/25 - );Alberta (2013/01/25 - );Alberta;M;"Canadian Senators Group (2019/11/04 - )
Independent Senators Group (2017/06/01 - 2019/11/03)
Non-affiliated (Independent Senators Group) (2016/12/02 - 2017/05/31)
Non-affiliated (2016/07/14 - 2016/12/01)
Conservative Party of Canada (2013/01/25 - 2016/07/13)"
Blanchette, Denis;1956-09-03;MP (2011/05/02 - 2015/10/18);Louis-Hébert (2011/05/02 - 2015/10/18);Quebec;M;New Democratic Party (2011/05/02 - 2015/10/18)
Blanchette-Lamothe, Lysane;1984-04-06;MP (2011/05/02 - 2015/10/18);Pierrefonds--Dollard (2011/05/02 - 2015/10/18);Quebec;F;New Democratic Party (2011/05/02 - 2015/10/18)
Blaney, Steven;1965-04-07;"MP (2015/10/19 - )
MP (2006/01/23 - 2015/10/18)";"Bellechasse--Les Etchemins--Lévis (2015/10/19 - )
Lévis--Bellechasse (2006/01/23 - 2015/10/18)";"Quebec
Quebec";M;Conservative Party of Canada (2006/01/23 - )
Block, Kelly;1961-11-29;"MP (2015/10/19 - )
MP (2008/10/14 - 2015/10/18)";"Carlton Trail--Eagle Creek (2015/10/19 - )
Saskatoon--Rosetown--Biggar (2008/10/14 - 2015/10/18)";"Saskatchewan
Saskatchewan";F;Conservative Party of Canada (2008/10/14 - )
Boisvenu, Pierre-Hugues;1949-02-11;Senator (2010/01/29 - );La Salle (2010/01/29 - );Quebec;M;"Conservative Party of Canada (2016/11/22 - )
Non-affiliated (2016/06/13 - 2016/11/21)
Independent (2015/06/04 - 2016/06/12)
Conservative Party of Canada (2010/01/29 - 2015/06/03)"
Boivin, Françoise;1960-06-10;"MP (2011/05/02 - 2015/10/18)
MP (2004/06/28 - 2006/01/22)";"Gatineau (2011/05/02 - 2015/10/18)
Gatineau (2004/06/28 - 2006/01/22)";"Quebec
Quebec";F;"New Democratic Party (2011/05/02 - 2015/10/18)
Liberal Party of Canada (2004/06/28 - 2006/01/23)"
Borg, Charmaine;1990-11-02;MP (2011/05/02 - 2015/10/18);Terrebonne--Blainville (2011/05/02 - 2015/10/18);Quebec;F;New Democratic Party (2011/05/02 - 2015/10/18)
Boughen, Ray;1937-05-24;MP (2008/10/14 - 2015/10/18);Palliser (2008/10/14 - 2015/10/18);Saskatchewan;M;Conservative Party of Canada (2008/10/14 - 2015/10/18)
Boulerice, Alexandre;1973-06-17;MP (2011/05/02 - );Rosemont--La Petite-Patrie (2011/05/02 - );Quebec;M;New Democratic Party (2011/05/02 - )
Boutin-Sweet, Marjolaine;1955-10-02;MP (2011/05/02 - 2019/10/20);Hochelaga (2011/05/02 - 2019/10/20);Quebec;F;New Democratic Party (2011/05/02 - 2019/10/20)
Brahmi, Tarik;1968-05-18;MP (2011/05/02 - 2015/10/18);Saint-Jean (2011/05/02 - 2015/10/18);Quebec;M;New Democratic Party (2011/05/02 - 2015/10/18)
Braid, Peter;1964-01-06;MP (2008/10/14 - 2015/10/18);Kitchener--Waterloo (2008/10/14 - 2015/10/18);Ontario;M;Conservative Party of Canada (2008/10/14 - 2015/10/18)
Braley, David;1941-05-30;Senator (2010/05/20 - 2013/11/30);Ontario (2010/05/20 - 2013/11/30);Ontario;M;Conservative Party of Canada (2010/05/20 - 2013/11/30)
Brazeau, Patrick;1974-11-10;Senator (2009/01/08 - );Repentigny (2009/01/08 - );Quebec;M;"Independent Senators Group (2017/06/01 - )
Non-affiliated (Independent Senators Group) (2016/12/02 - 2017/05/31)
Non-affiliated (2016/06/13 - 2016/12/01)
Independent (2013/02/07 - 2016/06/12)
Conservative Party of Canada (2009/01/08 - 2013/02/06)"
Breitkreuz, Garry W.;1945-10-20;MP (1993/10/25 - 2015/10/18);Yorkton--Melville (1993/10/25 - 2015/10/18);Saskatchewan;M;"Conservative Party of Canada (2003/12/23 - 2015/10/18)
Canadian Reform Conservative Alliance (2000/03/27 - 2003/12/22)
Reform Party of Canada (1993/10/25 - 2000/03/26)"
Brison, Scott;1967-05-09;"MP (2000/11/27 - 2019/02/10)
MP (1997/06/02 - 2000/07/24)";"Kings--Hants (2000/11/27 - 2019/02/10)
Kings--Hants (1997/06/02 - 2000/07/24)";"Nova Scotia
Nova Scotia";M;"Liberal Party of Canada (2003/12/11 - 2019/02/10)
Progressive Conservative Party (2000/11/27 - 2003/12/10)
Progressive Conservative Party (1997/06/02 - 2000/07/24)"
Brosseau, Ruth Ellen;1984-04-25;MP (2011/05/02 - 2019/10/20);Berthier--Maskinongé (2011/05/02 - 2019/10/20);Quebec;F;New Democratic Party (2011/05/02 - 2019/10/20)
Brown, Bert;1938-03-21;Senator (2007/07/10 - 2013/03/22);Alberta (2007/07/10 - 2013/03/22);Alberta;M;Conservative Party of Canada (2007/07/10 - 2013/03/22)
Brown, Gordon;1960-08-30;"MP (2015/10/19 - 2018/05/02)
MP (2004/06/28 - 2015/10/18)";"Leeds--Grenville--Thousand Islands and Rideau Lakes (2015/10/19 - 2018/05/02)
Leeds--Grenville (2004/06/28 - 2015/10/18)";"Ontario
Ontario";M;Conservative Party of Canada (2004/06/28 - 2018/05/02)
Brown, Lois;1955-01-21;MP (2008/10/14 - 2015/10/18);Newmarket--Aurora (2008/10/14 - 2015/10/18);Ontario;F;Conservative Party of Canada (2008/10/14 - 2015/10/18)
Brown, Patrick W.;1978-05-25;MP (2006/01/23 - 2015/05/14);Barrie (2006/01/23 - 2015/05/14);Ontario;M;Conservative Party of Canada (2006/01/23 - 2015/05/14)
Bruinooge, Rod;1973-05-05;MP (2006/01/23 - 2015/10/18);Winnipeg South (2006/01/23 - 2015/10/18);Manitoba;M;Conservative Party of Canada (2006/01/23 - 2015/10/18)
Buth, JoAnne L.;1954-05-22;Senator (2012/01/06 - 2014/08/10);Manitoba (2012/01/06 - 2014/08/10);Manitoba;F;Conservative Party of Canada (2012/01/06 - 2014/08/10)
Butt, Brad;1967-05-09;MP (2011/05/02 - 2015/10/18);Mississauga--Streetsville (2011/05/02 - 2015/10/18);Ontario;M;Conservative Party of Canada (2011/05/02 - 2015/10/18)
Byrne, Gerry;1966-09-26;MP (1996/03/25 - 2015/10/18);Humber--St. Barbe--Baie Verte (1996/03/25 - 2015/10/18);Newfoundland and Labrador;M;Liberal Party of Canada (1996/03/25 - 2015/10/18)
Calandra, Paul;1970-05-12;MP (2008/10/14 - 2015/10/18);Oak Ridges--Markham (2008/10/14 - 2015/10/18);Ontario;M;Conservative Party of Canada (2008/10/14 - 2015/10/18)
Calkins, Blaine;1968-12-24;"MP (2015/10/19 - )
MP (2006/01/23 - 2015/10/18)";"Red Deer--Lacombe (2015/10/19 - )
Wetaskiwin (2006/01/23 - 2015/10/18)";"Alberta
Alberta";M;Conservative Party of Canada (2006/01/23 - )
Callbeck, Catherine S.;1939-07-24;"MP (1988/11/21 - 1993/01/25)
Senator (1997/09/22 - 2014/07/25)";"Prince Edward Island (1997/09/22 - 2014/07/25)
Malpeque (1988/11/21 - 1993/01/25)";"Prince Edward Island
Prince Edward Island";F;"Liberal Party of Canada (1997/09/22 - 2014/07/25)
Liberal Party of Canada (1988/11/21 - 1993/01/25)"
Campbell, Larry W.;1948-02-27;Senator (2005/08/02 - );British Columbia (2005/08/02 - );British Columbia;M;"Canadian Senators Group (2019/11/04 - )
Independent Senators Group (2017/06/02 - 2019/11/03)
Non-affiliated (Independent Senators Group) (2016/12/02 - 2017/05/31)
Non-affiliated (2016/06/13 - 2016/12/01)
Independent (2016/04/06 - 2016/06/12)
Liberal Party of Canada (2005/08/02 - 2016/04/05)"
Cannan, Ronald;1961-05-07;MP (2006/01/23 - 2015/10/18);Kelowna--Lake Country (2006/01/23 - 2015/10/18);British Columbia;M;Conservative Party of Canada (2006/01/23 - 2015/10/18)
Carignan, Claude;1964-12-03;Senator (2009/08/27 - );Mille Isles (2009/08/27 - );Quebec;M;Conservative Party of Canada (2009/08/27 - )
Carmichael, John;1952-02-13;MP (2011/05/02 - 2015/10/18);Don Valley West (2011/05/02 - 2015/10/18);Ontario;M;Conservative Party of Canada (2011/05/02 - 2015/10/18)
Caron, Guy;1968-05-12;"MP (2015/08/02 - 2019/10/20)
MP (2011/05/02 - 2015/08/01)";"Rimouski-Neigette--Témiscouata--Les Basques (2015/08/02 - 2019/10/20)
Rimouski-Neigette--Témiscouata--Les Basques (2011/05/02 - 2015/08/01)";"Quebec
Quebec";M;New Democratic Party (2011/05/02 - 2019/10/20)
Carrie, Colin;1962-04-10;MP (2004/06/28 - );Oshawa (2004/06/28 - );Ontario;M;Conservative Party of Canada (2004/06/28 - )
Carstairs, Sharon;1942-04-25;Senator (1994/09/15 - 2011/10/17);Manitoba (1994/09/15 - 2011/10/17);Manitoba;F;Liberal Party of Canada (1994/09/15 - 2011/10/17)
Casey, Sean;1963-05-15;MP (2011/05/02 - );Charlottetown (2011/05/02 - );Prince Edward Island;M;Liberal Party of Canada (2011/05/02 - )
Cash, Andrew;1962-01-21;MP (2011/05/02 - 2015/10/18);Davenport (2011/05/02 - 2015/10/18);Ontario;M;New Democratic Party (2011/05/02 - 2015/10/18)
Champagne, Andrée;1939-07-16;"MP (1984/09/04 - 1993/10/24)
Senator (2005/08/02 - 2014/07/17)";"Grandville (2005/08/02 - 2014/07/17)
Saint-Hyacinthe--Bagot (1984/09/04 - 1993/10/24)";"Quebec
Quebec";F;"Conservative Party of Canada (2005/08/02 - 2014/07/17)
Progressive Conservative Party (1984/09/04 - 1993/10/25)"
Chan, Arnold;1967-06-09;MP (2014/06/30 - 2017/09/14);Scarborough--Agincourt (2014/06/30 - 2017/09/14);Ontario;M;Liberal Party of Canada (2014/06/30 - 2017/09/14)
Chaput, Maria;1942-05-06;Senator (2002/12/12 - 2016/02/29);Manitoba (2002/12/12 - 2016/02/29);Manitoba;F;Liberal Party of Canada (2002/12/12 - 2016/02/29)
Charette-Poulin, Marie-P.;1945-06-20;Senator (1995/09/21 - 2015/04/17);Northern Ontario (1995/09/21 - 2015/04/17);Ontario;F;Liberal Party of Canada (1995/09/21 - 2015/04/17)
Charlton, Chris;1963-07-03;MP (2006/01/23 - 2015/10/18);Hamilton Mountain (2006/01/23 - 2015/10/18);Ontario;F;New Democratic Party (2006/01/23 - 2015/10/18)
Chicoine, Sylvain;1970-07-18;MP (2011/05/02 - 2015/10/18);Châteauguay--Saint-Constant (2011/05/02 - 2015/10/18);Quebec;M;New Democratic Party (2011/05/02 - 2015/10/18)
Chisholm, Robert;1957-08-30;MP (2011/05/02 - 2015/10/18);Dartmouth--Cole Harbour (2011/05/02 - 2015/10/18);Nova Scotia;M;New Democratic Party (2011/05/02 - 2015/10/18)
Chisu, Corneliu;1949-02-12;MP (2011/05/02 - 2015/10/18);Pickering--Scarborough East (2011/05/02 - 2015/10/18);Ontario;M;Conservative Party of Canada (2011/05/02 - 2015/10/18)
Chong, Michael D.;1971-11-21;MP (2004/06/28 - );Wellington--Halton Hills (2004/06/28 - );Ontario;M;Conservative Party of Canada (2004/06/28 - )
Choquette, François;1974-01-02;MP (2011/05/02 - 2019/10/20);Drummond (2011/05/02 - 2019/10/20);Quebec;M;New Democratic Party (2011/05/02 - 2019/10/20)
Chow, Olivia;1957-03-23;MP (2006/01/23 - 2014/03/13);Trinity--Spadina (2006/01/23 - 2014/03/13);Ontario;F;New Democratic Party (2006/01/23 - 2014/03/13)
Christopherson, David;1954-10-04;MP (2004/06/28 - 2019/10/20);Hamilton Centre (2004/06/28 - 2019/10/20);Ontario;M;New Democratic Party (2004/06/28 - 2019/10/20)
Clarke, Rob;1967-03-01;MP (2008/03/17 - 2015/10/18);Desnethé--Missinippi--Churchill River (2008/03/17 - 2015/10/18);Saskatchewan;M;Conservative Party of Canada (2008/03/17 - 2015/10/18)
Cleary, Ryan;1966-11-19;MP (2011/05/02 - 2015/10/18);St. John's South--Mount Pearl (2011/05/02 - 2015/10/18);Newfoundland and Labrador;M;New Democratic Party (2011/05/02 - 2015/10/18)
Clement, Tony;1961-01-26;MP (2006/01/23 - 2019/10/20);Parry Sound--Muskoka (2006/01/23 - 2019/10/20);Ontario;M;"Independent (2018/11/07 - 2019/10/20)
Conservative Party of Canada (2006/01/23 - 2018/11/06)"
Cochrane, Ethel M.;1937-09-22;Senator (1986/11/17 - 2012/09/23);Newfoundland and Labrador (1986/11/17 - 2012/09/23);Newfoundland and Labrador;F;"Conservative Party of Canada (2004/02/02 - 2012/09/23)
Progressive Conservative Party (1986/11/17 - 2004/02/01)"
Coderre, Denis;1963-07-24;MP (1997/06/02 - 2013/06/02);Bourassa (1997/06/02 - 2013/06/02);Quebec;M;Liberal Party of Canada (1997/06/02 - 2013/06/02)
Comartin, Joe;1947-12-25;"MP (2004/06/28 - 2015/10/18)
MP (2000/11/27 - 2004/06/27)";"Windsor--Tecumseh (2004/06/28 - 2015/10/18)
Windsor--St. Clair (2000/11/27 - 2004/06/27)";"Ontario
Ontario";M;New Democratic Party (2000/11/27 - 2015/10/18)
Comeau, Gerald J.;1946-01-31;"MP (1984/09/04 - 1988/11/20)
Senator (1990/08/30 - 2013/11/30)";"Nova Scotia (1990/08/30 - 2013/11/30)
South West Nova (1984/09/04 - 1988/11/20)";"Nova Scotia
Nova Scotia";M;"Conservative Party of Canada (2004/02/02 - 2013/11/30)
Progressive Conservative Party (1990/08/30 - 2004/02/01)
Progressive Conservative Party (1984/09/04 - 1988/11/20)"
Cools, Anne C.;1943-08-11;Senator (1984/01/13 - 2018/08/11);"Toronto Centre -York (2001/02/15 - 2018/08/11)
Toronto Centre (1984/01/13 - 2001/02/14)";"Ontario
Ontario";F;"Independent Senators Group (2017/06/01 - 2018/08/11)
Non-affiliated (Independent Senators Group) (2017/03/10 - 2017/05/31)
Non-affiliated (2016/06/13 - 2017/03/09)
Independent (2010/07/08 - 2016/06/12)
No political alignment (2007/12/13 - 2010/07/07)
Conservative Party of Canada (2004/06/08 - 2007/12/12)
Liberal Party of Canada (1984/01/13 - 2004/06/07)"
Cordy, Jane;1950-07-01;Senator (2000/06/09 - );Nova Scotia (2000/06/09 - );Nova Scotia;F;"Non-affiliated (2019/11/18 - )
Progressive Senate Group (2019/11/14 - 2019/11/17)
Liberal Party of Canada (2000/06/09 - 2019/11/13)"
Côté, Raymond;1967-01-09;MP (2011/05/02 - 2015/10/18);Beauport--Limoilou (2011/05/02 - 2015/10/18);Quebec;M;New Democratic Party (2011/05/02 - 2015/10/18)
Cotler, Irwin;1940-05-07;MP (1999/11/15 - 2015/10/18);Mount Royal (1999/11/15 - 2015/10/18);Quebec;M;Liberal Party of Canada (1999/11/15 - 2015/10/18)
Cowan, James S.;1942-01-21;Senator (2005/03/24 - 2017/01/21);Nova Scotia (2005/03/24 - 2017/01/21);Nova Scotia;M;Liberal Party of Canada (2005/03/24 - 2017/01/21)
Crockatt, Joan;1955-12-03;MP (2012/11/26 - 2015/10/18);Calgary Centre (2012/11/26 - 2015/10/18);Alberta;F;Conservative Party of Canada (2012/11/26 - 2015/10/18)
Crowder, Jean;1952-07-06;MP (2004/06/28 - 2015/10/18);Nanaimo--Cowichan (2004/06/28 - 2015/10/18);British Columbia;F;New Democratic Party (2004/06/28 - 2015/10/18)
Cullen, Nathan;1972-07-12;MP (2004/06/28 - 2019/10/20);Skeena--Bulkley Valley (2004/06/28 - 2019/10/20);British Columbia;M;New Democratic Party (2004/06/28 - 2019/10/20)
Cuzner, Rodger;1955-11-03;"MP (2004/06/28 - 2019/10/20)
MP (2000/11/27 - 2004/06/27)";"Cape Breton--Canso (2004/06/28 - 2019/10/20)
Bras d'Or--Cape Breton (2000/11/27 - 2004/06/27)";"Nova Scotia
Nova Scotia";M;Liberal Party of Canada (2000/11/27 - 2019/10/20)
Dagenais, Jean-Guy;1950-02-01;Senator (2012/01/17 - );Victoria (2012/01/17 - );Quebec;M;"Canadian Senators Group (2019/11/18 - )
Conservative Party of Canada (2012/01/17 - 2019/11/17)"
Dallaire, Roméo A.;1946-06-24;Senator (2005/03/24 - 2014/06/17);Gulf (2005/03/24 - 2014/06/17);Quebec;M;Liberal Party of Canada (2005/03/24 - 2014/06/17)
Daniel, Joe;1954-12-04;MP (2011/05/02 - 2015/10/18);Don Valley East (2011/05/02 - 2015/10/18);Ontario;M;Conservative Party of Canada (2011/05/02 - 2015/10/18)
Davidson, Patricia;1946-06-29;MP (2006/01/23 - 2015/10/18);Sarnia--Lambton (2006/01/23 - 2015/10/18);Ontario;F;Conservative Party of Canada (2006/01/23 - 2015/10/18)
Davies, Don;1963-01-15;MP (2008/10/14 - );Vancouver Kingsway (2008/10/14 - );British Columbia;M;New Democratic Party (2008/10/14 - )
Davies, Libby;1953-02-26;MP (1997/06/02 - 2015/10/18);Vancouver East (1997/06/02 - 2015/10/18);British Columbia;F;New Democratic Party (1997/06/02 - 2015/10/18)
Dawson, Dennis;1949-09-27;"MP (1977/05/24 - 1984/09/03)
Senator (2005/08/02 - )";"Lauzon (2005/08/02 - )
Louis-Hébert (1977/05/24 - 1984/09/03)";"Quebec
Quebec";M;"Non-affiliated (2019/11/18 - )
Progressive Senate Group (2019/11/14 - 2019/11/17)
Liberal Party of Canada (2005/08/02 - 2019/11/13)
Liberal Party of Canada (1977/05/24 - 1984/09/03)"
Day, Anne-Marie;1954-02-01;MP (2011/05/02 - 2015/10/18);Charlesbourg--Haute-Saint-Charles (2011/05/02 - 2015/10/18);Quebec;F;New Democratic Party (2011/05/02 - 2015/10/18)
