Name;Date of Birth;Type of Parliamentarian;Riding/Senatorial Division;Province/Territory;Gender;Political Affiliation
Ablonczy, Diane;1949-05-05;"MP (1997/06/02 - 2015/10/18)
MP (1993/10/25 - 1997/06/01)";"Calgary--Nose Hill (1997/06/02 - 2015/10/18)
Calgary North (1993/10/25 - 1997/06/01)";"Alberta
Alberta";F;"Conservative Party of Canada (2003/12/23 - 2015/10/18)
Canadian Reform Conservative Alliance (2000/03/27 - 2003/12/22)
Reform Party of Canada (1993/10/25 - 2000/03/26)"
Adams, Eve;1974-11-06;MP (2011/05/02 - 2015/10/18);Mississauga--Brampton South (2011/05/02 - 2015/10/18);Ontario;F;"Liberal Party of Canada (2015/02/09 - 2015/10/18)
Conservative Party of Canada (2011/05/02 - 2015/02/08)"
Adler, Mark;1962-03-16;MP (2011/05/02 - 2015/10/18);York Centre (2011/05/02 - 2015/10/18);Ontario;M;Conservative Party of Canada (2011/05/02 - 2015/10/18)
Aglukkaq, Leona;1967-06-27;MP (2008/10/14 - 2015/10/18);Nunavut (2008/10/14 - 2015/10/18);Nunavut;F;Conservative Party of Canada (2008/10/14 - 2015/10/18)
Albas, Dan;1976-11-30;"MP (2015/10/19 - )
MP (2011/05/02 - 2015/10/18)";"Central Okanagan--Similkameen--Nicola (2015/10/19 - )
Okanagan--Coquihalla (2011/05/02 - 2015/10/18)";"British Columbia
British Columbia";M;Conservative Party of Canada (2011/05/02 - )
Albrecht, Harold;1949-10-14;MP (2006/01/23 - 2019/10/20);Kitchener--Conestoga (2006/01/23 - 2019/10/20);Ontario;M;Conservative Party of Canada (2006/01/23 - 2019/10/20)
Alexander, Chris;1968-09-08;MP (2011/05/02 - 2015/10/18);Ajax--Pickering (2011/05/02 - 2015/10/18);Ontario;M;Conservative Party of Canada (2011/05/02 - 2015/10/18)
Allen, Malcolm;1953-05-29;MP (2008/10/14 - 2015/10/18);Welland (2008/10/14 - 2015/10/18);Ontario;M;New Democratic Party (2008/10/14 - 2015/10/18)
Allen, Mike;1960-11-19;MP (2006/01/23 - 2015/10/18);Tobique--Mactaquac (2006/01/23 - 2015/10/18);New Brunswick;M;Conservative Party of Canada (2006/01/23 - 2015/10/18)
Allison, Dean;1965-02-17;"MP (2015/10/19 - )
MP (2004/06/28 - 2015/10/18)";"Niagara West (2015/10/19 - )
Niagara West--Glanbrook (2004/06/28 - 2015/10/18)";"Ontario
Ontario";M;Conservative Party of Canada (2004/06/28 - )
Ambler, Stella;1966-09-28;MP (2011/05/02 - 2015/10/18);Mississauga South (2011/05/02 - 2015/10/18);Ontario;F;Conservative Party of Canada (2011/05/02 - 2015/10/18)
Ambrose, Rona;1969-03-14;"MP (2015/10/19 - 2017/07/04)
MP (2004/06/28 - 2015/10/18)";"Sturgeon River--Parkland (2015/10/19 - 2017/07/04)
Edmonton--Spruce Grove (2004/06/28 - 2015/10/18)";"Alberta
Alberta";F;Conservative Party of Canada (2004/06/28 - 2017/07/04)
Anders, Rob;1972-03-31;MP (1997/06/02 - 2015/10/18);Calgary West (1997/06/02 - 2015/10/18);Alberta;M;"Conservative Party of Canada (2003/12/23 - 2015/10/18)
Canadian Reform Conservative Alliance (2000/03/27 - 2003/12/22)
Reform Party of Canada (1997/06/02 - 2000/03/26)"
Anderson, David;1957-08-14;MP (2000/11/27 - 2019/10/20);Cypress Hills--Grasslands (2000/11/27 - 2019/10/20);Saskatchewan;M;"Conservative Party of Canada (2003/12/23 - 2019/10/20)
Canadian Reform Conservative Alliance (2000/11/27 - 2003/12/22)"
Andrews, Scott;1974-12-27;MP (2008/10/14 - 2015/10/18);Avalon (2008/10/14 - 2015/10/18);Newfoundland and Labrador;M;"Independent (2014/11/05 - 2015/10/18)
Liberal Party of Canada (2008/10/14 - 2014/11/04)"
Andreychuk, Raynell;1944-08-13;Senator (1993/03/11 - 2019/08/13);Saskatchewan (1993/03/11 - 2019/08/13);Saskatchewan;F;"Conservative Party of Canada (2004/02/02 - 2019/08/13)
Progressive Conservative Party (1993/03/11 - 2004/02/01)"
Angus, Charlie;1962-11-13;MP (2004/06/28 - );Timmins--James Bay (2004/06/28 - );Ontario;M;New Democratic Party (2004/06/28 - )
Angus, W. David;1937-07-20;Senator (1993/06/10 - 2012/07/21);Alma (1993/06/10 - 2012/07/21);Quebec;M;"Conservative Party of Canada (2004/02/02 - 2012/07/21)
Progressive Conservative Party (1993/06/10 - 2004/02/01)"
Armstrong, Scott;1966-07-08;MP (2009/11/09 - 2015/10/18);Cumberland--Colchester--Musquodoboit Valley (2009/11/09 - 2015/10/18);Nova Scotia;M;Conservative Party of Canada (2009/11/09 - 2015/10/18)
Ashfield, Keith;1952-03-27;MP (2008/10/14 - 2015/10/18);Fredericton (2008/10/14 - 2015/10/18);New Brunswick;M;Conservative Party of Canada (2008/10/14 - 2015/10/18)
Ashton, Niki;1982-09-08;"MP (2015/10/19 - )
MP (2008/10/14 - 2015/10/18)";"Churchill--Keewatinook Aski (2015/10/19 - )
Churchill (2008/10/14 - 2015/10/18)";"Manitoba
Manitoba";F;New Democratic Party (2008/10/14 - )
